MeterNo,Value,RawFrame,TaskID
10000746,3725,Rx:execute success;Result Content:[7]C4 01 81 00 12 0E 8D ,67A3A42A55F86419C9D2638210108664-wisdom21219243
10000974,3731,Rx:execute success;Result Content:[7]C4 01 81 00 12 0E 93 ,67A3A42A55F86419C9D2638210108664-wisdom22056148
10001719,3725,Rx:execute success;Result Content:[7]C4 01 81 00 12 0E 8D ,67A3A42A55F86419C9D2638210108664-wisdom25487156
10004785,3710,Rx:execute success;Result Content:[7]C4 01 81 00 12 0E 7E ,67A3A42A55F86419C9D2638210108664-wisdom2121567
10005714,3715,Rx:execute success;Result Content:[7]C4 01 81 00 12 0E 83 ,67A3A42A55F86419C9D2638210108664-wisdom2840442
10001830,3704,Rx:execute success;Result Content:[7]C4 01 81 00 12 0E 78 ,67A3A42A55F86419C9D2638210108664-wisdom2523382
10003656,3699,Rx:execute success;Result Content:[7]C4 01 81 00 12 0E 73 ,67A3A42A55F86419C9D2638210108664-wisdom2197466
10000628,3699,Rx:execute success;Result Content:[7]C4 01 81 00 12 0E 73 ,67A3A42A55F86419C9D2638210108664-wisdom212397181
10003764,3694,Rx:execute success;Result Content:[7]C4 01 81 00 12 0E 6E ,67A3A42A55F86419C9D2638210108664-wisdom21163136
10003036,3689,Rx:execute success;Result Content:[7]C4 01 81 00 12 0E 69 ,67A3A42A55F86419C9D2638210108664-wisdom2542998
10004846,3689,Rx:execute success;Result Content:[7]C4 01 81 00 12 0E 69 ,67A3A42A55F86419C9D2638210108664-wisdom22233147
10023179,3683,Rx:execute success;Result Content:[7]C4 01 81 00 12 0E 63 ,67A3A42A55F86419C9D2638210108664-wisdom21082092
10006278,3683,Rx:execute success;Result Content:[7]C4 01 81 00 12 0E 63 ,67A3A42A55F86419C9D2638210108664-wisdom2357488
10000268,3689,Rx:execute success;Result Content:[7]C4 01 81 00 12 0E 69 ,67A3A42A55F86419C9D2638210108664-wisdom21919
10000329,3673,Rx:execute success;Result Content:[7]C4 01 81 00 12 0E 59 ,67A3A42A55F86419C9D2638210108664-wisdom24341146
10001619,,,67A3A42A55F86419C9D2638210108664-wisdom26770206
10002003,3678,Rx:execute success;Result Content:[7]C4 01 81 00 12 0E 5E ,67A3A42A55F86419C9D2638210108664-wisdom25320169
